epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.1,1.33936,2.94974,1.741,0.42264,0.568,0.54132,0.14165,1.86158,2.13468,2.31419,0.000332461,0.000332461,0.000332461
2,390.382,1.20907,2.07239,1.5928,0.08447,0.25718,0.09461,0.01829,3.08462,2.83997,4.39643,0.000652611,0.000652611,0.000652611
3,591.26,1.18579,1.80451,1.55546,0.55491,0.78891,0.73372,0.1846,2.35464,1.92812,3.02518,0.000959562,0.000959562,0.000959562
4,785.907,1.18149,1.67689,1.55828,0.7602,0.72883,0.83532,0.18245,2.78495,1.30828,3.38726,0.0009406,0.0009406,0.0009406
5,977.077,1.15451,1.55364,1.52861,0.58003,0.62569,0.57261,0.1254,2.69768,1.57166,3.60553,0.0009208,0.0009208,0.0009208
6,1159.78,1.10862,1.46402,1.49406,0.77206,0.84573,0.88532,0.19971,2.74003,1.32294,3.61061,0.000901,0.000901,0.000901
7,1340.92,1.09631,1.36713,1.47195,0.79827,0.72668,0.80114,0.17943,3.01119,1.14863,4.32049,0.0008812,0.0008812,0.0008812
8,1529.38,1.09437,1.3104,1.47528,0.87761,0.92311,0.97514,0.33742,2.39707,0.9407,2.81452,0.0008614,0.0008614,0.0008614
9,1716.28,1.05741,1.24959,1.45083,0.87069,0.93629,0.94156,0.21374,2.90534,0.92382,3.82634,0.0008416,0.0008416,0.0008416
10,1902.28,1.06434,1.21087,1.45084,0.9429,0.9273,0.98174,0.33257,2.47582,0.84812,3.01235,0.0008218,0.0008218,0.0008218
11,2113.01,1.04115,1.14897,1.42974,0.90642,0.96084,0.97082,0.31017,2.60064,0.83049,3.58498,0.000802,0.000802,0.000802
12,2330.3,1.03441,1.1357,1.43015,0.88349,0.95578,0.9851,0.43528,2.06571,0.69861,2.32165,0.0007822,0.0007822,0.0007822
13,2552.13,1.02099,1.08782,1.41272,0.8204,0.977,0.96834,0.52055,1.82336,0.81598,2.01172,0.0007624,0.0007624,0.0007624
14,2778.19,1.0112,1.04847,1.41047,0.95137,0.97265,0.98469,0.36943,2.33397,0.73744,2.8869,0.0007426,0.0007426,0.0007426
15,2975.3,1.0039,1.03832,1.39995,0.97953,0.97857,0.99072,0.44562,2.10976,0.62231,2.65087,0.0007228,0.0007228,0.0007228
16,3146.24,1.00004,1.01446,1.39754,0.94485,0.95618,0.99444,0.56729,1.60827,0.55686,1.79416,0.000703,0.000703,0.000703
17,3317.14,0.98042,0.98129,1.37968,0.92733,0.98597,0.99119,0.60403,1.51889,0.52048,1.75602,0.0006832,0.0006832,0.0006832
18,3505.77,0.97766,0.96131,1.38308,0.98684,0.98838,0.995,0.46153,2.03885,0.60237,2.25223,0.0006634,0.0006634,0.0006634
19,3729.82,0.98244,0.96636,1.38286,0.92309,0.99106,0.98891,0.47186,1.93914,0.60506,2.18382,0.0006436,0.0006436,0.0006436
20,3947.88,0.96163,0.94063,1.36786,0.97666,0.99335,0.995,0.60712,1.46361,0.47305,1.64377,0.0006238,0.0006238,0.0006238
21,4164.17,0.94936,0.90768,1.35412,0.98433,0.98865,0.995,0.46084,2.0544,0.54819,2.29698,0.000604,0.000604,0.000604
